Label,Name,Parent,To_parent,From_parent
gram,g,,,
femtogram,fg,gram,x * 10 ^ -15,x / 10 ^ -15
picogram,pg,gram,x * 10 ^ -12,x / 10 ^ -12
nanogram,ng,gram,x * 10 ^ -9,x / 10 ^ -9
microgram,μg,gram,x * 10 ^ -6,x / 10 ^ -6
milligram,mg,gram,x * 10 ^ -3,x / 10 ^ -3
kilogram,kg,gram,x * 10 ^ 3,x / 10 ^ 3
metre,m,,,
femtometre,fm,metre,x * 10 ^ -15,x / 10 ^ -15
picometre,pm,metre,x * 10 ^ -12,x / 10 ^ -12
nanometre,nm,metre,x * 10 ^ -9,x / 10 ^ -9
micrometre,μm,metre,x * 10 ^ -6,x / 10 ^ -6
millimetre,mm,metre,x * 10 ^ -3,x / 10 ^ -3
kilometre,km,metre,x * 10 ^ 3,x / 10 ^ 3
centimetre,cm,metre,x * 10 ^ -2,x / 10 ^ -2
square metre,m^2,,,
square femtometre,fm^2,square metre,x * 10 ^ -30,x / 10 ^ -30
square picometre,pm^2,square metre,x * 10 ^ -24,x / 10 ^ -24
square nanometre,nm^2,square metre,x * 10 ^ -18,x / 10 ^ -18
square micrometre,μm^2,square metre,x * 10 ^ -12,x / 10 ^ -12
square millimetre,mm^2,square metre,x * 10 ^ -6,x / 10 ^ -6
square centimetre,cm^2,square metre,x * 10 ^ -4,x / 10 ^ -4
cubic metre,m^3,,,
cubic femtometre,fm^3,cubic metre,x * 10 ^ -45,x / 10 ^ -45
cubic picometre,pm^3,cubic metre,x * 10 ^ -36,x / 10 ^ -36
cubic nanometre,nm^3,cubic metre,x * 10 ^ -27,x / 10 ^ -27
cubic micrometre,μm^3,cubic metre,x * 10 ^ -18,x / 10 ^ -18
cubic millimetre,mm^3,cubic metre,x * 10 ^ -9,x / 10 ^ -9
cubic centimetre,cm^3,cubic metre,x * 10 ^ -6,x / 10 ^ -6
litre,l,cubic metre,x * 10 ^ -3,x / 10 ^ -3
femtolitre,fl,cubic metre,x * 10 ^ -18,x / 10 ^ -18
picolitre,pl,cubic metre,x * 10 ^ -15,x / 10 ^ -15
nanolitre,nl,cubic metre,x * 10 ^ -12,x / 10 ^ -12
microlitre,μl,cubic metre,x * 10 ^ -9,x / 10 ^ -9
millilitre,ml,cubic metre,x * 10 ^ -6,x / 10 ^ -6
centilitre,cl,cubic metre,x * 10 ^ -5,x / 10 ^ -5
second,sec,,,
week,w,second,x * 604800,x / 604800
day,d,second,x * 86400,x / 86400
hour,h,second,x * 3600,x / 3600
minute,min,second,x * 60,x / 60
mole,mol,,,
femtomole,fmol,mole,x * 10 ^ -15,x / 10 ^ -15
picomole,pmol,mole,x * 10 ^ -12,x / 10 ^ -12
nanomole,nmol,mole,x * 10 ^ -9,x / 10 ^ -9
micromole,μmol,mole,x * 10 ^ -6,x / 10 ^ -6
millimole,mmol,mole,x * 10 ^ -3,x / 10 ^ -3
molar,M,,,
femtomolar,fM,molar,x * 10 ^ -15,x / 10 ^ -15
picomolar,pM,molar,x * 10 ^ -12,x / 10 ^ -12
nanomolar,nM,molar,x * 10 ^ -9,x / 10 ^ -9
micromolar,μM,molar,x * 10 ^ -6,x / 10 ^ -6
millimolar,mM,molar,x * 10 ^ -3,x / 10 ^ -3
gram per gram,g/g,,,
gram per femtogram,g/fg,gram per gram,x * (1 / 10 ^ -15),x / (1 / 10 ^ -15)
gram per picogram,g/pg,gram per gram,x * (1 / 10 ^ -12),x / (1 / 10 ^ -12)
gram per nanogram,g/ng,gram per gram,x * (1 / 10 ^ -9),x / (1 / 10 ^ -9)
gram per microgram,g/μg,gram per gram,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
