Label,Name,Parent,To_parent,From_parent
watt,W,,,
femtowatt,fW,watt,x * 10 ^ -15,x / 10 ^ -15
picowatt,pW,watt,x * 10 ^ -12,x / 10 ^ -12
nanowatt,nW,watt,x * 10 ^ -9,x / 10 ^ -9
microwatt,μW,watt,x * 10 ^ -6,x / 10 ^ -6
milliwatt,mW,watt,x * 10 ^ -3,x / 10 ^ -3
kilowatt,kW,watt,x * 10 ^ 3,x / 10 ^ 3
megawatt,MW,watt,x * 10 ^ 6,x / 10 ^ 6
gray,Gy,,,
femtogray,fGy,gray,x * 10 ^ -15,x / 10 ^ -15
picogray,pGy,gray,x * 10 ^ -12,x / 10 ^ -12
nanogray,nGy,gray,x * 10 ^ -9,x / 10 ^ -9
microgray,μGy,gray,x * 10 ^ -6,x / 10 ^ -6
milligray,mGy,gray,x * 10 ^ -3,x / 10 ^ -3
kelvin,K,,,
degree Celsius,°C,kelvin,x + 273.15,x - 273.15
degree Fahrenheit,°F,kelvin,(x + 459.67) * 5 / 9,x * 9 / 5 - 459.67
joule,J,,,
femtojoule,fJ,joule,x * 10 ^ -15,x / 10 ^ -15
picojoule,pJ,joule,x * 10 ^ -12,x / 10 ^ -12
nanojoule,nJ,joule,x * 10 ^ -9,x / 10 ^ -9
microjoule,μJ,joule,x * 10 ^ -6,x / 10 ^ -6
millijoule,mJ,joule,x * 10 ^ -3,x / 10 ^ -3
becquerel,Bq,,,
kilobecquerel,kBq,becquerel,x * 10 ^ 3,x / 10 ^ 3
megabecquerel,MBq,becquerel,x * 10 ^ 6,x / 10 ^ 6
sievert,Sv,,,
femtosievert,fSv,sievert,x * 10 ^ -15,x / 10 ^ -15
picosievert,pSv,sievert,x * 10 ^ -12,x / 10 ^ -12
nanosievert,nSv,sievert,x * 10 ^ -9,x / 10 ^ -9
microsievert,μSv,sievert,x * 10 ^ -6,x / 10 ^ -6
millisievert,mSv,sievert,x * 10 ^ -3,x / 10 ^ -3
rad,rad,,,
femtorad,frad,rad,x * 10 ^ -15,x / 10 ^ -15
picorad,prad,rad,x * 10 ^ -12,x / 10 ^ -12
nanorad,nrad,rad,x * 10 ^ -9,x / 10 ^ -9
microrad,μrad,rad,x * 10 ^ -6,x / 10 ^ -6
millirad,mrad,rad,x * 10 ^ -3,x / 10 ^ -3
lux,lx,,,
femtolux,flx,lux,x * 10 ^ -15,x / 10 ^ -15
picolux,plx,lux,x * 10 ^ -12,x / 10 ^ -12
nanolux,nlx,lux,x * 10 ^ -9,x / 10 ^ -9
microlux,μlx,lux,x * 10 ^ -6,x / 10 ^ -6
millilux,mlx,lux,x * 10 ^ -3,x / 10 ^ -3
kilolux,klx,lux,x * 10 ^ 3,x / 10 ^ 3
megalux,Mlx,lux,x * 10 ^ 6,x / 10 ^ 6
pascal,Pa,,,
femtopascal,fPa,pascal,x * 10 ^ -15,x / 10 ^ -15
picopascal,pPa,pascal,x * 10 ^ -12,x / 10 ^ -12
nanopascal,nPa,pascal,x * 10 ^ -9,x / 10 ^ -9
micropascal,μPa,pascal,x * 10 ^ -6,x / 10 ^ -6
millipascal,mPa,pascal,x * 10 ^ -3,x / 10 ^ -3
kilopascal,kPa,pascal,x * 10 ^ 3,x / 10 ^ 3
megapascal,MPa,pascal,x * 10 ^ 6,x / 10 ^ 6
watt per square metre,W/m^2,,,
watt per square femtometre,W/fm^2,watt per square metre,x * (1 / 10 ^ -30),x / (1 / 10 ^ -30)
watt per square picometre,W/pm^2,watt per square metre,x * (1 / 10 ^ -24),x / (1 / 10 ^ -24)
watt per square nanometre,W/nm^2,watt per square metre,x * (1 / 10 ^ -18),x / (1 / 10 ^ -18)
watt per square micrometre,W/μm^2,watt per square metre,x * (1 / 10 ^ -12),x / (1 / 10 ^ -12)
watt per square millimetre,W/mm^2,watt per square metre,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
watt per square centimetre,W/cm^2,watt per square metre,x * (1 / 10 ^ -4),x / (1 / 10 ^ -4)
femtowatt per square metre,fW/m^2,watt per square metre,x * (10 ^ -15 / 1),x / (10 ^ -15 / 1)
femtowatt per square femtometre,fW/fm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -30),x / (10 ^ -15 / 10 ^ -30)
femtowatt per square picometre,fW/pm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -24),x / (10 ^ -15 / 10 ^ -24)
femtowatt per square nanometre,fW/nm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -18),x / (10 ^ -15 / 10 ^ -18)
femtowatt per square micrometre,fW/μm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -12),x / (10 ^ -15 / 10 ^ -12)
femtowatt per square millimetre,fW/mm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -6),x / (10 ^ -15 / 10 ^ -6)
femtowatt per square centimetre,fW/cm^2,watt per square metre,x * (10 ^ -15 / 10 ^ -4),x / (10 ^ -15 / 10 ^ -4)
picowatt per square metre,pW/m^2,watt per square metre,x * (10 ^ -12 / 1),x / (10 ^ -12 / 1)
picowatt per square femtometre,pW/fm^2,watt per square metre,x * (10 ^ -12 / 10 ^ -30),x / (10 ^ -12 / 10 ^ -30)
